year,month,fips,usercnt,tweetcnt,usercnt_all,tweetcnt_all,srb,srb_using_tweet
2017,8,45051,41,48,8139,62660,5.03747389114,0.766038940313
2017,8,45015,8,17,972,11012,8.2304526749,1.54377043226
2017,8,45071,1,1,277,2919,3.61010830325,0.342583076396
2017,8,45007,4,5,1313,11294,3.046458492,0.442712944927
2017,8,45055,1,1,301,3308,3.32225913621,0.302297460701
2017,8,45063,9,9,2891,26700,3.11310965064,0.337078651685
2017,8,45043,1,1,1006,8207,0.994035785288,0.121847203607
2017,8,45091,7,7,1665,10837,4.2042042042,0.645935221925
2017,8,45045,12,14,4343,42536,2.76306700437,0.32913296972
2017,8,45079,10,13,4539,32025,2.20312844239,0.405932864949
2017,8,45005,1,1,31,774,32.2580645161,1.29198966408
2017,8,45047,2,2,433,4151,4.61893764434,0.48181161166
2017,8,45013,6,6,2257,13736,2.65839610102,0.436808386721
2017,8,45075,2,2,543,6733,3.6832412523,0.297044408139
2017,8,45019,10,15,5410,45106,1.84842883549,0.332549993349
2017,8,45041,6,7,1003,12904,5.98205383848,0.542467451953
2017,8,45073,2,10,525,2541,3.80952380952,3.93545848091
2017,8,45025,1,1,107,474,9.34579439252,2.10970464135
2017,8,45083,9,9,2072,29631,4.34362934363,0.303735952212
2017,8,45035,7,9,835,9029,8.38323353293,0.996788127146
2017,8,45037,1,1,66,380,15.1515151515,2.63157894737
2017,8,45085,7,7,502,6668,13.9442231076,1.04979004199
2017,9,45075,3,4,481,7862,6.23700623701,0.508776392775
2017,9,45071,2,2,238,3375,8.40336134454,0.592592592593
2017,9,45059,1,1,235,2102,4.25531914894,0.475737392959
2017,9,45047,2,2,353,3314,5.6657223796,0.60350030175
2017,9,45021,1,1,386,3305,2.59067357513,0.302571860817
2017,9,45041,5,7,939,11848,5.32481363152,0.59081701553
2017,9,45019,16,16,4298,40803,3.72266170312,0.392128029802
2017,9,45067,2,2,89,1130,22.4719101124,1.76991150442
2017,9,45007,4,4,1173,11246,3.41005967604,0.355682020274
2017,9,45045,14,18,4002,41756,3.49825087456,0.431075773542
2017,9,45013,2,3,1324,9602,1.51057401813,0.312434909394
2017,9,45079,7,10,4150,26870,1.68674698795,0.372162262747
2017,9,45035,6,11,748,9056,8.02139037433,1.21466431095
2017,9,45083,7,7,2011,30670,3.48085529587,0.228236061298
2017,9,45015,6,12,871,8841,6.88863375431,1.35731252121
2017,9,45063,8,12,2668,27916,2.99850074963,0.429861011606
2017,9,45051,12,13,4597,48078,2.61039808571,0.270393943176
2017,9,45077,2,3,2046,18006,0.977517106549,0.166611129623
2017,9,45091,2,2,1508,11531,1.32625994695,0.173445494753
2017,9,45085,4,5,464,7298,8.62068965517,0.685119210743
2017,9,45057,1,1,894,6099,1.11856823266,0.163961305132
2017,9,45031,2,2,661,5143,3.02571860817,0.38887808672
2017,9,45009,1,1,59,542,16.9491525424,1.84501845018
2017,10,45047,3,5,357,3882,8.40336134454,1.28799587841
2017,10,45007,5,8,1175,11131,4.25531914894,0.71871350283
2017,10,45021,2,2,368,3241,5.4347826087,0.617093489664
2017,10,45003,5,5,903,9028,5.53709856035,0.553832521046
2017,10,45083,7,12,2085,28646,3.35731414868,0.418906653634
2017,10,45035,4,5,731,8778,5.47195622435,0.569605832764
2017,10,45091,4,4,1491,11222,2.68276324614,0.356442701836
2017,10,45077,4,6,1677,17800,2.38521168754,0.337078651685
2017,10,45051,22,24,4054,49571,5.42673902319,0.484154041678
2017,10,45043,2,2,532,5017,3.75939849624,0.398644608332
2017,10,45023,1,1,78,485,12.8205128205,2.0618556701
2017,10,45049,1,1,38,180,26.3157894737,5.55555555556
2017,10,45071,1,1,253,3030,3.95256916996,0.3300330033
2017,10,45013,2,3,1336,9137,1.49700598802,0.328335339827
2017,10,45031,3,3,345,2950,8.69565217391,1.01694915254
2017,10,45057,2,2,912,6348,2.19298245614,0.315059861374
2017,10,45045,19,23,4015,41085,4.73225404732,0.559815017646
2017,10,45085,10,14,462,8619,21.645021645,1.6243183664
2017,10,45075,1,1,540,8937,1.85185185185,0.111894371713
2017,10,45019,17,18,4326,40486,3.9297272307,0.444598132688
2017,10,45041,5,10,845,10514,5.91715976331,0.951112801978
2017,10,45059,1,1,231,1736,4.329004329,0.576036866359
2017,10,45079,12,17,4318,28711,2.77906438166,0.592107554596
2017,10,45089,1,1,88,570,11.3636363636,1.75438596491
2017,10,45063,11,31,2687,30616,4.09378489021,1.01254246146
2017,10,45015,4,6,929,7997,4.3057050592,0.750281355508
2017,11,45079,9,9,4257,27225,2.11416490486,0.330578512397
2017,11,45091,4,5,1476,12704,2.71002710027,0.393576826196
2017,11,45043,1,1,542,5058,1.84501845018,0.197706603401
2017,11,45003,3,4,942,7992,3.1847133758,0.500500500501
2017,11,45029,1,1,111,875,9.00900900901,1.14285714286
2017,11,45051,22,41,3851,44100,5.71280186964,0.92970521542
2017,11,45077,4,4,1760,15405,2.27272727273,0.259655955858
2017,11,45013,4,5,1396,9424,2.86532951289,0.530560271647
2017,11,45045,15,21,4214,40642,3.55956336023,0.516706854978
2017,11,45085,3,3,478,7752,6.27615062762,0.386996904025
2017,11,45041,8,14,886,10201,9.02934537246,1.37241446917
2017,11,45019,10,10,4195,39200,2.38379022646,0.255102040816
2017,11,45007,6,7,1194,10730,5.02512562814,0.652376514445
2017,11,45015,3,3,894,7548,3.35570469799,0.397456279809
2017,11,45063,9,10,2671,27394,3.36952452265,0.365043440169
2017,11,45047,1,3,356,3483,2.80898876404,0.861326442722
2017,11,45083,7,10,2092,29081,3.34608030593,0.343867129741
2017,11,45021,2,2,380,2867,5.26315789474,0.697593303104
2017,11,45035,7,10,761,7476,9.19842312746,1.33761369716
2017,11,45075,2,2,453,8152,4.41501103753,0.245338567223
2017,11,45031,1,1,344,3450,2.90697674419,0.289855072464
2017,11,45071,3,4,233,2634,12.8755364807,1.51860288535
2017,11,45057,3,3,844,6290,3.55450236967,0.476947535771
2017,12,45055,1,1,265,2395,3.77358490566,0.417536534447
2017,12,45007,5,5,1090,9880,4.5871559633,0.506072874494
2017,12,45013,6,7,1280,9078,4.6875,0.771094954836
2017,12,45021,1,1,379,2285,2.63852242744,0.437636761488
2017,12,45047,2,3,311,2599,6.4308681672,1.15429011158
2017,12,45071,2,3,193,2145,10.3626943005,1.3986013986
2017,12,45057,2,2,957,7129,2.08986415883,0.280544255856
2017,12,45031,3,4,324,3169,9.25925925926,1.26222783212
2017,12,45015,4,8,943,9242,4.24178154825,0.865613503571
2017,12,45063,13,14,2573,27333,5.05246793626,0.512201368309
2017,12,45003,3,3,881,9203,3.40522133939,0.325980658481
2017,12,45051,12,15,3659,38843,3.27958458595,0.386169966274
2017,12,45077,8,8,1301,10274,6.14911606457,0.778664590228
2017,12,45091,2,2,1521,13164,1.31492439185,0.15192950471
2017,12,45033,1,1,140,622,7.14285714286,1.6077170418
2017,12,45019,17,18,4035,38209,4.21313506815,0.471093197938
2017,12,45041,7,7,946,10684,7.39957716702,0.655185323849
2017,12,45075,5,7,349,4635,14.3266475645,1.51024811219
2017,12,45083,8,12,2074,30332,3.85728061716,0.395621785573
2017,12,45035,2,2,758,6848,2.63852242744,0.292056074766
2017,12,45085,1,1,439,5863,2.27790432802,0.170561146171
2017,12,45073,1,1,470,2447,2.12765957447,0.4086636698
2017,12,45025,1,3,104,518,9.61538461538,5.79150579151
2017,12,45045,19,19,4044,42525,4.69831849654,0.446796002352
2017,12,45053,1,2,176,518,5.68181818182,3.861003861
2017,12,45079,6,11,3755,27975,1.59786950732,0.393208221626
2018,1,45071,1,1,191,2998,5.23560209424,0.333555703803
2018,1,45085,4,4,437,7947,9.1533180778,0.50333459167
2018,1,45021,2,2,304,2056,6.57894736842,0.972762645914
2018,1,45047,1,4,288,3248,3.47222222222,1.2315270936
2018,1,45025,1,1,89,405,11.2359550562,2.46913580247
2018,1,45057,4,4,790,7314,5.06329113924,0.546896363139
2018,1,45031,1,3,306,3938,3.26797385621,0.761808024378
2018,1,45001,1,1,54,411,18.5185185185,2.43309002433
2018,1,45041,4,6,877,11700,4.56100342075,0.512820512821
2018,1,45019,21,28,4046,42455,5.19031141869,0.659521846661
2018,1,45075,4,4,401,5640,9.97506234414,0.709219858156
2018,1,45027,1,1,80,467,12.5,2.14132762313
2018,1,45039,1,1,74,633,13.5135135135,1.57977883096
2018,1,45013,3,3,1096,9418,2.73722627737,0.318538967934
2018,1,45077,5,5,1360,14168,3.67647058824,0.352907961604
2018,1,45051,24,30,3164,45937,7.58533501896,0.653068332717
2018,1,45003,3,4,824,10694,3.64077669903,0.374041518609
2018,1,45089,1,1,63,312,15.873015873,3.20512820513
2018,1,45015,5,5,933,11026,5.359056806,0.453473607836
2018,1,45063,12,18,2377,28640,5.04838031132,0.628491620112
