year,fips,srb
2021,5071,3.636363636
2019,5073,38.46153846
2017,5075,9.345794393
2018,5075,3.816793893
2018,5077,10
2019,5077,13.33333333
2017,5083,4.608294931
2018,5083,8.902077151
2019,5083,4.237288136
2016,5085,2.355712603
2017,5085,7.514450867
2018,5085,4.611330698
2019,5085,11.19023398
2020,5085,4.587155963
2021,5085,10.9375
2022,5085,9.208103131
2016,5093,5.964214712
2017,5093,7.601351351
2018,5093,13.27885598
2019,5093,13.26699834
2020,5093,12.21995927
2021,5093,2.717391304
2022,5093,2.747252747
2021,5095,9.900990099
2022,5095,9.615384615
2016,5099,12.82051282
2017,5103,9.259259259
2018,5103,11.42857143
2019,5103,8.130081301
2020,5103,13.10043668
2021,5103,6.060606061
2016,5107,8.064516129
2018,5107,15.38461538
2019,5107,5.025125628
2020,5107,5.464480874
2017,5111,2.89017341
2019,5111,9.661835749
2016,5113,12.57861635
2017,5113,2.865329513
2018,5113,11.49425287
2019,5113,4.694835681
2020,5113,5.747126437
2022,5113,10.86956522
2016,5115,4.823151125
2017,5115,6.664198445
2018,5115,9.960159363
2019,5115,12.07000604
2020,5115,7.874015748
2021,5115,12.57142857
2022,5115,5.856515373
2016,5119,10.16445866
2017,5119,10.83249749
2018,5119,12.44745319
2019,5119,12.55665354
2020,5119,15.32185852
2021,5119,15.08204633
2022,5119,15.01103753
2016,5121,17.39130435
2018,5121,4.716981132
2017,5123,4.566210046
2018,5123,6.980802792
2019,5123,2.380952381
2021,5123,3.745318352
2016,5125,4.439511654
2017,5125,4.005340454
2018,5125,7.104290992
2019,5125,6.694560669
2020,5125,8.902077151
2021,5125,8.777429467
2022,5125,11.68614357
2018,5127,20
2020,5127,12.34567901
2016,5131,7.662835249
2017,5131,9.540117417
2018,5131,9.338313767
2019,5131,10.1010101
2020,5131,10.08572869
2021,5131,7.180156658
2022,5131,15.28559936
2016,5133,9.009009009
2017,5135,4.166666667
2018,5135,6.097560976
2019,5135,8.130081301
2022,5135,14.92537313
2016,5139,7.211538462
2017,5139,10.67235859
2018,5139,8.869179601
2019,5139,5.016722408
2020,5139,15.6555773
2021,5139,8.498583569
2022,5139,3.289473684
2020,5141,11.76470588
2016,5143,3.653738055
2017,5143,3.771748388
2018,5143,4.052411185
2019,5143,4.112149533
2020,5143,4.274646006
2021,5143,3.340419071
2022,5143,4.751346215
2016,5145,3.006012024
2017,5145,3.698566805
2018,5145,5.39083558
2019,5145,8.950366151
2020,5145,5.353319058
2021,5145,2.75862069
2022,5145,3.521126761
2020,5149,8.403361345
2022,5149,9.708737864
2016,6001,9.966708712
2017,6001,10.68459571
2018,6001,13.39724434
2019,6001,14.88906189
2020,6001,20.73379408
2021,6001,15.01519219
2022,6001,15.91528959
2016,6005,4.754358162
2017,6005,2.310803004
2018,6005,2.842928216
2020,6005,1.792114695
2021,6005,5.540166205
2022,6005,3.021148036
2016,6007,10.26694045
2017,6007,14.22091455
2018,6007,15.74382922
2019,6007,17.02724359
2020,6007,19.76885645
2021,6007,13.45668629
2022,6007,15.01668521
2016,6009,3.537735849
2017,6009,3.658536585
2018,6009,2.89017341
2019,6009,3.597122302
2020,6009,1.497005988
2022,6009,15.625
2016,6011,11.38952164
2017,6011,8.733624454
2018,6011,7.682458387
2019,6011,6.622516556
2020,6011,8.658008658
2021,6011,6.191950464
2016,6013,9.182157807
2017,6013,13.13548447
2018,6013,14.76287138
2019,6013,15.78046992
2020,6013,15.90336317
2021,6013,10.68180431
2022,6013,13.44356023
2018,6015,3.454231434
2016,6017,3.31047529
2017,6017,2.599758162
2018,6017,3.127727669
2019,6017,3.951747088
2020,6017,3.191866651
2021,6017,2.646436133
2022,6017,3.798670465
2016,6019,14.96719954
2017,6019,15.66094959
2018,6019,15.21534283
2019,6019,17.26668393
2020,6019,21.41065639
2021,6019,16.45231335
2022,6019,15.59042446
2016,6021,4.291845494
2017,6021,5.671077505
2018,6021,5.780346821
2019,6021,4.87804878
2020,6021,7.736943907
2021,6021,5.617977528
2022,6021,9.933774834
2016,6023,7.569011576
2017,6023,10.07667032
2018,6023,19.4436943
2019,6023,18.13373631
2020,6023,17.4446016
2021,6023,11.86017478
2022,6023,15.24390244
2016,6025,10.23622047
2017,6025,10.15312916
2018,6025,10.71915806
2019,6025,11.7978969
2020,6025,11.15485564
2021,6025,4.933399112
2022,6025,6.960556845
2016,6027,0.741289844
2017,6027,0.262467192
2018,6027,1.341381623
2019,6027,1.966568338
2020,6027,0.661813369
2021,6027,1.733102253
2022,6027,1.128668172
2016,6029,16.001255
2017,6029,15.18247006
2018,6029,17.44880154
2019,6029,16.78956324
2020,6029,18.46908592
2021,6029,12.64274062
2022,6029,12.8846635
