county,fips,year,link
Spartanburg,45083,2011,0.705882353
Richland,45079,2017,0.706349206
Florence,45041,2013,0.708333333
Cherokee,45021,2010,0.714285714
Darlington,45031,2010,0.714285714
Marion,45067,2010,0.714285714
Kershaw,45055,2011,0.714285714
Georgetown,45043,2012,0.714285714
Greenwood,45047,2014,0.714285714
Laurens,45059,2015,0.714285714
Kershaw,45055,2016,0.714285714
Marlboro,45069,2016,0.714285714
Darlington,45031,2012,0.722222222
Greenwood,45047,2016,0.727272727
Spartanburg,45083,2013,0.731707317
Horry,45051,2015,0.731707317
Aiken,45003,2011,0.733333333
Anderson,45007,2012,0.733333333
Darlington,45031,2017,0.733333333
Horry,45051,2013,0.736842105
Florence,45041,2018,0.740740741
Chesterfield,45025,2010,0.75
Anderson,45007,2011,0.75
Williamsburg,45089,2011,0.75
Abbeville,45001,2012,0.75
Chester,45023,2012,0.75
Hampton,45049,2012,0.75
Fairfield,45039,2013,0.75
Georgetown,45043,2013,0.75
Dillon,45033,2014,0.75
Horry,45051,2014,0.75
Oconee,45073,2014,0.75
Pickens,45077,2014,0.75
Saluda,45081,2014,0.75
Cherokee,45021,2015,0.75
Newberry,45071,2015,0.75
Oconee,45073,2016,0.75
Colleton,45029,2017,0.75
Georgetown,45043,2017,0.75
Union,45087,2017,0.75
Georgetown,45043,2018,0.75
Horry,45051,2012,0.757575758
Orangeburg,45075,2014,0.76
Spartanburg,45083,2017,0.76
Spartanburg,45083,2014,0.764705882
Darlington,45031,2013,0.769230769
Clarendon,45027,2011,0.777777778
Barnwell,45011,2014,0.777777778
Clarendon,45027,2015,0.777777778
Florence,45041,2015,0.777777778
Pickens,45077,2016,0.777777778
Laurens,45059,2017,0.777777778
Abbeville,45001,2017,0.78298611
Lexington,45063,2015,0.785714286
Spartanburg,45083,2016,0.785714286
Florence,45041,2011,0.789473684
Colleton,45029,2010,0.8
Union,45087,2011,0.8
Cherokee,45021,2013,0.8
Beaufort,45013,2014,0.8
Laurens,45059,2014,0.8
Bamberg,45009,2015,0.8
Williamsburg,45089,2016,0.8
Berkeley,45015,2017,0.8
Fairfield,45039,2018,0.8
Laurens,45059,2018,0.8
Orangeburg,45075,2011,0.8125
Orangeburg,45075,2012,0.821428571
Florence,45041,2017,0.828571429
Chesterfield,45025,2013,0.833333333
Darlington,45031,2016,0.833333333
Dillon,45033,2017,0.833333333
Marion,45067,2017,0.833333333
Marlboro,45069,2011,0.857142857
Clarendon,45027,2012,0.857142857
Williamsburg,45089,2012,0.857142857
Greenwood,45047,2013,0.875
Greenwood,45047,2012,0.888888889
Oconee,45073,2015,0.888888889
Marion,45067,2011,0.9
Abbeville,45001,2010,1
Bamberg,45009,2010,1
Barnwell,45011,2010,1
Chester,45023,2010,1
Clarendon,45027,2010,1
Greenwood,45047,2010,1
Laurens,45059,2010,1
McCormick,45065,2010,1
Newberry,45071,2010,1
Saluda,45081,2010,1
Union,45087,2010,1
Abbeville,45001,2011,1
Barnwell,45011,2011,1
Cherokee,45021,2011,1
Chester,45023,2011,1
Fairfield,45039,2011,1
Jasper,45053,2011,1
Lee,45061,2011,1
McCormick,45065,2011,1
Newberry,45071,2011,1
Oconee,45073,2011,1
Colleton,45029,2012,1
Saluda,45081,2012,1
Union,45087,2012,1
Abbeville,45001,2013,1
Calhoun,45017,2013,1
Lee,45061,2013,1
Marion,45067,2013,1
Marlboro,45069,2013,1
Oconee,45073,2013,1
Saluda,45081,2013,1
Cherokee,45021,2014,1
Chester,45023,2014,1
Fairfield,45039,2014,1
Georgetown,45043,2014,1
Jasper,45053,2014,1
Marion,45067,2014,1
Marlboro,45069,2014,1
Allendale,45005,2015,1
Barnwell,45011,2015,1
Colleton,45029,2015,1
Marion,45067,2015,1
Union,45087,2015,1
Abbeville,45001,2016,1
Barnwell,45011,2016,1
Calhoun,45017,2016,1
Clarendon,45027,2016,1
Jasper,45053,2016,1
Marion,45067,2016,1
